_id,trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,2355010,12,37,Northwest Berkeley,"",1,12001,shp-12-05,0,0
2,3699020,12,11,Northwest Berkeley,"",1,12002,shp-12-05,0,0
3,4995020,12,11,Northwest Berkeley,"",1,12008,shp-12-05,0,0
4,13324020,12,11,Northwest Berkeley,"",1,12004,shp-12-05,0,0
5,8388070,12,52,Northwest Berkeley,"",1,12003,shp-12-05,0,0
6,4380070,12,52,Northwest Berkeley,"",1,12005,shp-12-05,0,0
7,3969070,12,52,Northwest Berkeley,"",1,12005,shp-12-05,0,0
8,6445020,12,11,Northwest Berkeley,"",1,12007,shp-12-05,0,0
9,4925010,12,37,Northwest Berkeley,"",1,12004,shp-12-05,0,0
10,5346010,12,37,Northwest Berkeley,"",1,12004,shp-12-05,0,0
11,3231070,12,52,Northwest Berkeley,"",1,12004,shp-12-05,0,0
12,7349070,12,52,Northwest Berkeley,"",1,12001,shp-12-05,0,0
13,10108010,12,37,Northwest Berkeley,"",1,12002,shp-12-05,0,0
14,2075020,12,11,Northwest Berkeley,"",1,12004,shp-12-05,0,0
15,6267020,12,11,Northwest Berkeley,"",1,12002,shp-12-05,0,0
16,4548020,12,11,Northwest Berkeley,"",1,12001,shp-12-05,0,0
17,4052070,12,52,Northwest Berkeley,"",1,12003,shp-12-05,0,0
18,12186070,12,52,Northwest Berkeley,"",1,12001,shp-12-05,0,0
19,11898010,12,37,Northwest Berkeley,"",1,12006,shp-12-05,0,0
20,870010,12,37,Northwest Berkeley,"",1,12002,shp-12-05,0,0
21,4529010,12,37,Northwest Berkeley,"",1,12003,shp-12-05,0,0
22,11851010,12,37,Northwest Berkeley,"",1,851002,shp-12-05,0,0
23,1786010,12,37,Northwest Berkeley,"",1,12001,shp-12-05,0,0
24,13569070,12,52,Northwest Berkeley,"",1,12006,shp-12-05,0,0
25,5169010,12,37,Northwest Berkeley,"",1,12002,shp-12-05,0,0
26,5485070,12,52,Northwest Berkeley,"",1,12001,shp-12-05,0,0
27,5206010,12,37,Northwest Berkeley,"",1,12005,shp-12-05,0,0
28,2852160,12,41,Northwest Berkeley,"",1,12009,shp-12-05,0,0
29,6765020,12,11,Northwest Berkeley,"",1,12003,shp-12-05,0,0
30,11115070,12,52,Northwest Berkeley,"",1,12003,shp-12-05,0,0
31,3060020,12,11,Northwest Berkeley,"",1,12007,shp-12-05,0,0
32,7126020,12,11,Northwest Berkeley,"",1,12003,shp-12-05,0,0
33,4153020,12,11,Northwest Berkeley,"",1,12006,shp-12-05,0,0
34,2247010,12,37,Northwest Berkeley,"",1,12004,shp-12-05,0,0
35,12965070,12,52,Northwest Berkeley,"",1,12004,shp-12-05,0,0
36,1782070,12,52,Northwest Berkeley,"",1,12005,shp-12-05,0,0
37,3289070,12,52,Northwest Berkeley,"",1,12006,shp-12-05,0,0
38,2204020,12,11,Northwest Berkeley,"",1,12004,shp-12-05,0,0
39,10955010,12,37,Northwest Berkeley,"",1,12003,shp-12-05,0,0
40,11677070,12,52,Northwest Berkeley,"",1,12005,shp-12-05,0,0
41,13876160,12,41,Northwest Berkeley,"",1,12009,shp-12-05,0,0
42,13876020,12,2,Northwest Berkeley,"",1,12009,shp-12-05,0,0
43,2402020,12,11,Northwest Berkeley,"",1,12005,shp-12-05,0,0
44,4714020,12,11,Northwest Berkeley,"",1,12002,shp-12-05,0,0
45,2241020,12,11,Northwest Berkeley,"",1,12006,shp-12-05,0,0
46,1082010,12,37,Northwest Berkeley,"",1,12001,shp-12-05,0,0
47,9960010,12,37,Northwest Berkeley,"",1,12003,shp-12-05,0,0
48,8221070,12,52,Northwest Berkeley,"",1,12006,shp-12-05,0,0
49,10024010,12,37,Northwest Berkeley,"",1,12001,shp-12-05,0,0
50,5864020,12,11,Northwest Berkeley,"",1,12008,shp-12-05,0,0
51,11653020,12,2,Northwest Berkeley,"",1,12009,shp-12-05,0,0
52,2852020,12,2,Northwest Berkeley,"",1,12009,shp-12-05,0,0
53,9227010,12,37,Northwest Berkeley,"",1,12005,shp-12-05,0,0
54,9335020,12,11,Northwest Berkeley,"",1,12005,shp-12-05,0,0
55,7189020,12,2,Northwest Berkeley,"",1,12009,shp-12-05,0,0
56,13713020,12,11,Northwest Berkeley,"",1,12006,shp-12-05,0,0
57,9102070,12,52,Northwest Berkeley,"",1,12004,shp-12-05,0,0
58,10445020,12,11,Northwest Berkeley,"",1,12005,shp-12-05,0,0
59,8415070,12,52,Northwest Berkeley,"",1,12002,shp-12-05,0,0
60,8209020,12,11,Northwest Berkeley,"",1,12001,shp-12-05,0,0
61,8720010,12,37,Northwest Berkeley,"",1,12001,shp-12-05,0,0
62,7197070,12,52,Northwest Berkeley,"",1,12002,shp-12-05,0,0
63,9234070,12,52,Northwest Berkeley,"",1,12006,shp-12-05,0,0
64,13554020,12,11,Northwest Berkeley,"",1,12003,shp-12-05,0,0
65,8052070,12,52,Northwest Berkeley,"",1,12002,shp-12-05,0,0
66,5662070,12,52,Northwest Berkeley,"",1,12003,shp-12-05,0,0
67,1921070,12,52,Northwest Berkeley,"",1,12005,shp-12-05,0,0
68,2670010,12,37,Northwest Berkeley,"",1,12004,shp-12-05,0,0
69,8200010,12,37,Northwest Berkeley,"",1,12006,shp-12-05,0,0
70,10536020,12,11,Northwest Berkeley,"",1,12007,shp-12-05,0,0
71,8704020,12,11,Northwest Berkeley,"",1,12003,shp-12-05,0,0
72,2406020,12,11,Northwest Berkeley,"",1,12004,shp-12-05,0,0
73,12183020,12,11,Northwest Berkeley,"",1,12007,shp-12-05,0,0
74,2037020,12,11,Northwest Berkeley,"",1,12007,shp-12-05,0,0
75,2434020,12,11,Northwest Berkeley,"",1,12006,shp-12-05,0,0
76,5290020,12,11,Northwest Berkeley,"",1,12004,shp-12-05,0,0
77,438010,12,37,Northwest Berkeley,"",1,12002,shp-12-05,0,0
78,6669020,12,2,Northwest Berkeley,"",1,12009,shp-12-05,0,0
79,7842020,12,11,Northwest Berkeley,"",1,12001,shp-12-05,0,0
80,6001010,12,37,Northwest Berkeley,"",1,12002,shp-12-05,0,0
81,2524020,12,11,Northwest Berkeley,"",1,12002,shp-12-05,0,0
82,2935020,12,11,Northwest Berkeley,"",1,12004,shp-12-05,0,0
83,6785010,12,37,Northwest Berkeley,"",1,12006,shp-12-05,0,0
84,8874020,12,11,Northwest Berkeley,"",1,12002,shp-12-05,0,0
85,1684070,12,52,Northwest Berkeley,"",1,12003,shp-12-05,0,0
86,8799020,12,11,Northwest Berkeley,"",1,12003,shp-12-05,0,0
87,6551020,12,11,Northwest Berkeley,"",1,12005,shp-12-05,0,0
88,10950010,12,37,Northwest Berkeley,"",1,12006,shp-12-05,0,0
89,7234070,12,52,Northwest Berkeley,"",1,12002,shp-12-05,0,0
90,6680010,12,37,Northwest Berkeley,"",1,12003,shp-12-05,0,0
91,6098020,12,11,Northwest Berkeley,"",1,802001,shp-12-05,0,0
92,2545020,12,11,Northwest Berkeley,"",1,12006,shp-12-05,0,0
93,10030070,12,52,Northwest Berkeley,"",1,12001,shp-12-05,0,0
94,13810070,12,52,Northwest Berkeley,"",1,12004,shp-12-05,0,0
95,5623020,12,11,Northwest Berkeley,"",1,12001,shp-12-05,0,0
96,11653160,12,41,Northwest Berkeley,"",1,12009,shp-12-05,0,0
97,2223010,12,37,Northwest Berkeley,"",1,12006,shp-12-05,0,0
98,8437020,12,11,Northwest Berkeley,"",1,12005,shp-12-05,0,0
99,12380010,12,37,Northwest Berkeley,"",1,12003,shp-12-05,0,0
100,9221010,12,37,Northwest Berkeley,"",1,12001,shp-12-05,0,0
101,3920070,12,52,Northwest Berkeley,"",1,12001,shp-12-05,0,0
102,14012070,12,52,Northwest Berkeley,"",1,12005,shp-12-05,0,0
103,8228020,12,11,Northwest Berkeley,"",1,12001,shp-12-05,0,0
104,9391010,12,37,Northwest Berkeley,"",1,12005,shp-12-05,0,0
105,7653010,12,37,Northwest Berkeley,"",1,12004,shp-12-05,0,0
106,13388070,12,52,Northwest Berkeley,"",1,851002,shp-12-05,0,0
107,2647070,12,52,Northwest Berkeley,"",1,12004,shp-12-05,0,0
108,11785020,12,11,Northwest Berkeley,"",1,12006,shp-12-05,0,0
109,3358020,12,11,Northwest Berkeley,"",1,12005,shp-12-05,0,0
110,7708020,12,11,Northwest Berkeley,"",1,12004,shp-12-05,0,0
111,10026010,12,37,Northwest Berkeley,"",1,12005,shp-12-05,0,0
112,2919010,12,37,Northwest Berkeley,"",1,12004,shp-12-05,0,0
113,3398070,12,52,Northwest Berkeley,"",1,12001,shp-12-05,0,0
114,9875010,12,37,Northwest Berkeley,"",1,12005,shp-12-05,0,0
